Random waveform, random seed
Total number of intervals = 120 (21257, 98472, 99385, 54860, 74812, 34374, 56412, 25022, 13667, 40991, 17264, 68474, 16258, 78637, 98263, 9582, 68051, 22444, 99304, 17067, 85588, 72585, 47753, 39595, 20887, 62903, 63533, 99741, 55201, 7634, 13982, 19855, 97801, 36001, 47073, 19170, 86409, 96132, 93091, 8683, 70231, 96349, 36092, 56170, 45086, 56355, 15811, 70698, 61639, 88560, 55595, 72643, 64080, 72644, 85604, 61949, 87359, 10901, 94842, 72605, 84828, 20798, 80234, 61141, 80390, 21672, 43890, 5333, 11671, 32970, 21506, 19175, 68977, 20688, 50117, 57099, 77177, 76678, 47281, 82491, 74986, 15991, 52696, 88814, 41079, 76563, 17491, 81333, 96770, 86331, 25887, 22408, 77311, 40381, 32535, 25963, 60651, 16279, 42716, 33724, 61095, 70459, 30772, 39467, 55219, 25868, 86768, 52291, 26145, 72902, 44359, 96828, 12564, 28113, 88793, 69276, 6714, 39313, 35453, 51764)
Average QPS expected = 52763
Timestamp start: 1684510768352
Timestamp end: 1684511968760

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      397.8   248.2   160.7   216.3   231.5   363.3   458.8   501.6   528.5   556.7   589.5   638.8   776.7  1681.7 10793.2  26048.6    25963
read      356.7   193.7   160.7   209.8   223.9   315.1   375.0   420.5   458.5   504.1   555.8   620.2   741.8  1171.5  7450.2  60542.4    60651
read      414.0   307.2   160.7   225.2   244.4   398.3   463.1   494.0   514.8   539.2   571.2   622.3   765.1  4098.8 13231.5  16249.9    16279
read      373.5   192.9   160.7   209.9   224.3   327.0   406.0   463.5   502.6   542.6   585.7   641.6   773.6  1254.8  7660.5  42702.0    42716
read      386.5   222.8   160.7   212.1   226.9   340.8   435.3   487.6   520.3   553.1   590.5   644.9   785.0  1609.2  9770.2  33721.7    33724
read      357.0   218.5   160.7   209.1   223.2   317.5   378.0   420.7   455.8   499.1   549.1   614.4   742.6  1283.9  8297.8  61269.1    61095
read      348.2   173.8   160.7   208.0   221.8   312.1   368.7   406.3   437.8   477.8   529.4   596.6   735.6  1147.9  7442.8  70502.1    70459
read      392.0   224.8   160.7   212.5   227.4   346.1   448.4   500.1   531.3   563.5   599.5   651.6   783.6  1653.3  9017.6  30767.2    30772
read      381.2   250.6   148.8   210.4   224.9   331.6   418.1   475.6   514.9   553.1   594.6   649.0   775.7  2052.2  9818.9  39430.0    39467
read      365.7   198.8   160.7   210.9   225.2   320.6   388.0   436.7   477.6   525.4   575.7   637.4   765.1  1157.4  8123.8  55306.6    55219
read      391.4   231.3   160.7   214.1   229.2   357.0   451.4   492.9   518.7   545.6   578.9   627.2   749.2  2039.4  9404.5  25886.0    25868
read      340.0   167.3   148.8   208.3   221.7   308.0   361.0   393.7   419.8   453.3   499.3   570.2   713.9  1281.4  6366.6  86752.8    86768
read      365.7   196.7   160.7   210.3   224.7   320.3   388.8   439.3   481.0   527.3   576.2   636.1   760.0  1184.7  7928.4  52194.6    52291
read      395.8   249.4   160.7   215.0   230.2   359.0   455.5   499.6   526.9   555.3   588.9   637.8   769.8  1635.9 10830.7  26182.5    26145
read      348.4   198.8   160.7   208.2   221.9   311.0   368.1   405.6   437.3   477.8   529.8   596.2   728.1  1425.5  7579.3  72928.7    72902
read      376.0   214.3   160.7   210.8   225.4   328.3   406.6   463.8   504.7   545.3   589.2   646.4   781.9  1378.8  8838.4  44384.5    44359
read      325.9   145.8   160.7   206.2   219.1   296.9   344.5   374.4   398.4   428.8   469.2   535.0   679.3  1081.9  4196.4  96722.1    96828
read      415.8   285.9   160.7   237.0   259.2   403.4   456.8   483.4   501.9   524.3   549.5   598.3   740.1  4183.8 11336.5  12514.3    12564
read      408.9   244.7   160.7   221.3   238.6   373.9   461.7   507.6   537.1   568.7   605.0   659.7   808.1  2279.7 10042.3  28219.6    28113
read      332.6   163.8   148.8   207.0   220.2   301.0   350.4   382.5   407.1   440.2   485.8   552.7   690.2  1225.4  6527.1  88724.2    88793
read      345.9   182.6   160.7   207.4   221.2   308.0   362.7   400.9   434.7   477.8   531.8   598.2   726.1  1190.7  7515.1  69265.9    69276
